City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
296,cubara,7.0008,-72.1085,80.08,65,92,2.84,1619128712,CO
297,souillac,-20.5167,57.5167,77.0,94,75,5.75,1619128712,MU
298,provideniya,64.3833,-173.3,39.2,52,0,15.66,1619128625,RU
299,lafiagi,8.8667,5.4167,84.34,57,45,3.83,1619128712,NG
300,lagoa,39.05,-27.9833,56.46,78,47,42.08,1619128713,PT
301,san vicente,-26.6167,-54.1333,65.79,59,100,2.33,1619128713,AR
302,camabatela,-8.1881,15.375,63.07,93,91,4.0,1619128713,AO
303,kavaratti,10.5669,72.642,83.32,69,87,7.7,1619128714,IN
304,kasongo-lunda,-6.4667,16.8167,67.21,97,100,1.63,1619128714,CD
305,ocampo,21.65,-101.5,89.01,50,82,17.38,1619128714,MX
306,saint-philippe,-21.3585,55.7679,77.0,78,90,18.41,1619128715,RE
307,namibe,-15.1961,12.1522,79.25,81,39,2.04,1619128715,AO
308,saldanha,-33.0117,17.9442,60.8,82,0,3.44,1619128715,ZA
309,la tuque,47.4334,-72.7824,30.2,51,100,17.27,1619128715,CA
310,pemangkat,1.1667,108.9667,78.06,85,75,6.02,1619128716,ID
311,atasu,48.6814,71.6433,30.88,47,26,11.36,1619128716,KZ
312,mendoza,-32.8908,-68.8272,68.0,49,40,4.61,1619128622,AR
313,kamenka,51.3223,42.7678,43.0,86,66,4.63,1619128716,RU
314,derzhavinsk,51.1,66.3167,39.85,50,98,11.18,1619128717,KZ
315,aklavik,68.2191,-135.0107,26.6,54,20,5.75,1619128717,CA
316,odweyne,9.4092,45.064,76.28,58,69,3.67,1619128718,SO
317,rio gallegos,-51.6226,-69.2181,50.0,76,75,3.44,1619128718,AR
318,villazon,-22.0866,-65.5942,58.05,13,1,8.81,1619128718,BO
319,manta,-0.95,-80.7333,82.4,74,20,10.36,1619128718,EC
320,suicheng,33.8963,117.9331,50.97,95,15,6.31,1619128719,CN
321,grindavik,63.8424,-22.4338,44.6,87,90,25.32,1619128719,IS
322,dicabisagan,17.0818,122.4157,74.43,84,100,3.96,1619128719,PH
323,zhezkazgan,47.8043,67.7144,38.53,40,71,12.57,1619128621,KZ
324,gourcy,13.2167,-2.35,88.99,35,93,10.16,1619128720,BF
325,viedma,-40.8135,-62.9967,61.92,55,42,5.01,1619128707,AR
326,gigmoto,13.7796,124.39,78.44,88,88,5.41,1619128720,PH
327,tiznit,29.5833,-9.5,58.51,73,8,4.65,1619128721,MA
328,trojes,41.756,19.962,53.6,94,90,3.91,1619128721,AL
329,payson,40.0444,-111.7321,62.01,23,40,9.22,1619128721,US
330,brewer,44.7967,-68.7614,36.0,51,90,13.8,1619128721,US
331,camacha,33.0833,-16.3333,68.0,83,20,1.14,1619128722,PT
332,takoradi,4.8845,-1.7554,82.2,86,100,10.67,1619128722,GH
333,somanda,-3.3667,33.95,66.58,75,100,6.35,1619128722,TZ
334,gat,31.61,34.7642,63.0,77,40,3.44,1619128694,IL
335,xinzhi,36.4989,111.7047,60.93,75,100,1.99,1619128723,CN
336,sitka,57.0531,-135.33,50.0,50,1,8.05,1619128723,US
337,yumen,40.2833,97.2,47.03,26,65,9.24,1619128723,CN
338,kruisfontein,-34.0033,24.7314,66.99,82,5,4.0,1619128607,ZA
339,urumqi,43.801,87.6005,41.0,52,0,6.71,1619128724,CN
340,ewa beach,21.3156,-158.0072,84.2,57,75,13.8,1619128724,US
341,henties bay,-22.116,14.2845,64.99,84,84,1.99,1619128678,NA
342,tinskoy,56.1525,96.9161,19.67,94,11,2.82,1619128725,RU
343,great bend,38.3645,-98.7648,55.4,38,1,34.52,1619128725,US
344,terney,45.0503,136.6092,48.85,53,100,3.18,1619128630,RU
345,marsa matruh,31.3525,27.2453,60.8,72,75,5.75,1619128725,EG
346,ambatofinandrahana,-20.55,46.8,59.36,90,59,4.16,1619128726,MG
347,mahajanga,-15.7167,46.3167,78.8,78,40,3.44,1619128726,MG
348,bayanday,53.0661,105.5139,21.13,72,99,4.21,1619128726,RU
349,yomou,7.5603,-9.2653,72.23,96,94,5.23,1619128726,GN
350,betera,39.5833,-0.45,57.99,94,75,5.32,1619128727,ES
351,komsomolskiy,40.4272,71.7189,51.8,70,0,3.38,1619128727,UZ
352,bloomfield,40.8068,-74.1854,48.99,27,75,11.5,1619128727,US
353,russell,32.3502,-85.1999,68.0,19,1,4.83,1619128728,US
354,porbandar,21.6422,69.6093,79.52,80,62,8.61,1619128728,IN
355,vagur,61.4732,-6.8119,43.32,70,100,4.32,1619128728,FO
356,dunedin,-45.8742,170.5036,57.0,86,99,1.01,1619128729,NZ
357,iqaluit,63.7506,-68.5145,23.0,74,90,5.75,1619128595,CA
358,saskylakh,71.9167,114.0833,4.62,97,100,5.3,1619128729,RU
359,giddarbaha,30.2,74.6667,74.1,40,48,15.73,1619128729,IN
360,sao filipe,14.8961,-24.4956,73.22,72,56,12.44,1619128605,CV
361,bumba,2.1833,22.4667,75.6,78,47,1.19,1619128730,CD
362,nemuro,43.3236,145.575,35.56,87,98,15.3,1619128730,JP
363,frederico westphalen,-27.3592,-53.3944,66.06,55,52,3.6,1619128730,BR
364,luena,-11.7833,19.9167,62.19,81,66,3.06,1619128731,AO
365,khandyga,62.6667,135.6,12.49,91,99,3.02,1619128731,RU
